model,userId,num_truth,num_recommended,num_matched,precision@10,recall@10,hit_rate@10
KNN_CF,71061,14,10,0,0.0,0.0,0.0
KNN_CF,152825,11,10,1,0.1,0.09090909090909091,1.0
KNN_CF,108856,11,10,0,0.0,0.0,0.0
KNN_CF,75860,3,10,0,0.0,0.0,0.0
KNN_CF,73207,1,10,0,0.0,0.0,0.0
KNN_CF,126457,66,10,3,0.3,0.045454545454545456,1.0
KNN_CF,25112,6,10,0,0.0,0.0,0.0
KNN_CF,52970,123,10,6,0.6,0.04878048780487805,1.0
KNN_CF,26890,7,10,2,0.2,0.2857142857142857,1.0
KNN_CF,116544,26,10,1,0.1,0.038461538461538464,1.0
KNN_CF,29686,9,10,0,0.0,0.0,0.0
KNN_CF,80911,15,10,2,0.2,0.13333333333333333,1.0
KNN_CF,70354,19,10,0,0.0,0.0,0.0
KNN_CF,133649,11,10,1,0.1,0.09090909090909091,1.0
KNN_CF,60227,15,10,1,0.1,0.06666666666666667,1.0
KNN_CF,113279,18,10,0,0.0,0.0,0.0
KNN_CF,135256,16,10,0,0.0,0.0,0.0
KNN_CF,32752,5,10,1,0.1,0.2,1.0
KNN_CF,144252,5,10,0,0.0,0.0,0.0
KNN_CF,157234,5,10,0,0.0,0.0,0.0
KNN_CF,36938,16,10,0,0.0,0.0,0.0
KNN_CF,149902,16,10,1,0.1,0.0625,1.0
KNN_CF,145116,9,10,0,0.0,0.0,0.0
KNN_CF,20862,3,10,0,0.0,0.0,0.0
KNN_CF,26159,3,10,0,0.0,0.0,0.0
KNN_CF,136399,14,10,0,0.0,0.0,0.0
KNN_CF,129285,19,10,1,0.1,0.05263157894736842,1.0
KNN_CF,30817,16,10,0,0.0,0.0,0.0
KNN_CF,123461,2,10,0,0.0,0.0,0.0
KNN_CF,22768,20,10,1,0.1,0.05,1.0
KNN_CF,38954,4,10,0,0.0,0.0,0.0
KNN_CF,90119,6,10,1,0.1,0.16666666666666666,1.0
KNN_CF,113805,37,10,2,0.2,0.05405405405405406,1.0
KNN_CF,85541,11,10,2,0.2,0.18181818181818182,1.0
KNN_CF,88627,7,10,1,0.1,0.14285714285714285,1.0
KNN_CF,46879,7,10,1,0.1,0.14285714285714285,1.0
KNN_CF,147155,2,10,0,0.0,0.0,0.0
KNN_CF,127679,5,10,2,0.2,0.4,1.0
KNN_CF,104597,2,10,1,0.1,0.5,1.0
KNN_CF,124784,10,10,2,0.2,0.2,1.0
KNN_CF,14999,13,10,0,0.0,0.0,0.0
KNN_CF,136772,33,10,2,0.2,0.06060606060606061,1.0
KNN_CF,88828,18,10,0,0.0,0.0,0.0
KNN_CF,63003,43,10,0,0.0,0.0,0.0
KNN_CF,72053,1,10,1,0.1,1.0,1.0
KNN_CF,77338,5,10,0,0.0,0.0,0.0
KNN_CF,102343,3,10,1,0.1,0.3333333333333333,1.0
KNN_CF,11064,7,10,0,0.0,0.0,0.0
KNN_CF,123634,6,10,0,0.0,0.0,0.0
KNN_CF,36896,6,10,2,0.2,0.3333333333333333,1.0
KNN_CF,106329,42,10,3,0.3,0.07142857142857142,1.0
KNN_CF,145971,4,10,0,0.0,0.0,0.0
KNN_CF,110987,2,10,1,0.1,0.5,1.0
KNN_CF,59600,20,10,0,0.0,0.0,0.0
KNN_CF,72432,1,10,0,0.0,0.0,0.0
KNN_CF,75256,24,10,0,0.0,0.0,0.0
KNN_CF,150555,34,10,1,0.1,0.029411764705882353,1.0
KNN_CF,83391,5,10,0,0.0,0.0,0.0
KNN_CF,119507,14,10,3,0.3,0.21428571428571427,1.0
KNN_CF,120775,4,10,0,0.0,0.0,0.0
KNN_CF,65391,13,10,0,0.0,0.0,0.0
KNN_CF,60265,30,10,0,0.0,0.0,0.0
KNN_CF,125701,4,10,0,0.0,0.0,0.0
KNN_CF,12431,3,10,1,0.1,0.3333333333333333,1.0
KNN_CF,103496,3,10,0,0.0,0.0,0.0
KNN_CF,110924,3,10,2,0.2,0.6666666666666666,1.0
KNN_CF,134452,6,10,1,0.1,0.16666666666666666,1.0
KNN_CF,13994,22,10,3,0.3,0.13636363636363635,1.0
KNN_CF,44982,5,10,0,0.0,0.0,0.0
KNN_CF,15836,4,10,3,0.3,0.75,1.0
KNN_CF,157726,2,10,0,0.0,0.0,0.0
KNN_CF,123162,4,10,0,0.0,0.0,0.0
KNN_CF,7137,30,10,0,0.0,0.0,0.0
KNN_CF,139445,3,10,0,0.0,0.0,0.0
KNN_CF,113816,7,10,1,0.1,0.14285714285714285,1.0
KNN_CF,70749,3,10,1,0.1,0.3333333333333333,1.0
KNN_CF,139420,4,10,0,0.0,0.0,0.0
KNN_CF,31652,3,10,0,0.0,0.0,0.0
KNN_CF,59147,1,10,0,0.0,0.0,0.0
KNN_CF,10399,4,10,0,0.0,0.0,0.0
KNN_CF,15324,2,10,0,0.0,0.0,0.0
KNN_CF,81308,17,10,1,0.1,0.058823529411764705,1.0
KNN_CF,158490,25,10,0,0.0,0.0,0.0
KNN_CF,71303,14,10,1,0.1,0.07142857142857142,1.0
KNN_CF,50797,39,10,1,0.1,0.02564102564102564,1.0
KNN_CF,130776,10,10,1,0.1,0.1,1.0
KNN_CF,102626,38,10,0,0.0,0.0,0.0
KNN_CF,110145,10,10,1,0.1,0.1,1.0
KNN_CF,76332,8,10,1,0.1,0.125,1.0
KNN_CF,126956,4,10,0,0.0,0.0,0.0
KNN_CF,66770,3,10,1,0.1,0.3333333333333333,1.0
KNN_CF,57624,3,10,0,0.0,0.0,0.0
KNN_CF,121001,15,10,1,0.1,0.06666666666666667,1.0
KNN_CF,21159,33,10,1,0.1,0.030303030303030304,1.0
KNN_CF,111552,4,10,0,0.0,0.0,0.0
KNN_CF,53676,4,10,3,0.3,0.75,1.0
KNN_CF,14528,5,10,0,0.0,0.0,0.0
KNN_CF,91753,16,10,2,0.2,0.125,1.0
KNN_CF,73190,5,10,0,0.0,0.0,0.0
KNN_CF,135317,12,10,0,0.0,0.0,0.0
