model,alpha,userId,num_truth,num_recommended,num_matched,precision@10,recall@10,hit_rate@10
HYBRID,0.8,71061,14,10,0,0.0,0.0,0.0
HYBRID,0.8,152825,11,10,1,0.1,0.09090909090909091,1.0
HYBRID,0.8,108856,11,10,0,0.0,0.0,0.0
HYBRID,0.8,75860,3,10,0,0.0,0.0,0.0
HYBRID,0.8,73207,1,10,0,0.0,0.0,0.0
HYBRID,0.8,126457,66,10,3,0.3,0.045454545454545456,1.0
HYBRID,0.8,25112,6,10,0,0.0,0.0,0.0
HYBRID,0.8,52970,123,10,6,0.6,0.04878048780487805,1.0
HYBRID,0.8,26890,7,10,2,0.2,0.2857142857142857,1.0
HYBRID,0.8,116544,26,10,1,0.1,0.038461538461538464,1.0
HYBRID,0.8,29686,9,10,0,0.0,0.0,0.0
HYBRID,0.8,80911,15,10,3,0.3,0.2,1.0
HYBRID,0.8,70354,19,10,0,0.0,0.0,0.0
HYBRID,0.8,133649,11,10,1,0.1,0.09090909090909091,1.0
HYBRID,0.8,60227,15,10,1,0.1,0.06666666666666667,1.0
HYBRID,0.8,113279,18,10,0,0.0,0.0,0.0
HYBRID,0.8,135256,16,10,0,0.0,0.0,0.0
HYBRID,0.8,32752,5,10,0,0.0,0.0,0.0
HYBRID,0.8,144252,5,10,0,0.0,0.0,0.0
HYBRID,0.8,157234,5,10,0,0.0,0.0,0.0
HYBRID,0.8,36938,16,10,0,0.0,0.0,0.0
HYBRID,0.8,149902,16,10,1,0.1,0.0625,1.0
HYBRID,0.8,145116,9,10,0,0.0,0.0,0.0
HYBRID,0.8,20862,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.8,26159,3,10,0,0.0,0.0,0.0
HYBRID,0.8,136399,14,10,0,0.0,0.0,0.0
HYBRID,0.8,129285,19,10,1,0.1,0.05263157894736842,1.0
HYBRID,0.8,30817,16,10,0,0.0,0.0,0.0
HYBRID,0.8,123461,2,10,0,0.0,0.0,0.0
HYBRID,0.8,22768,20,10,2,0.2,0.1,1.0
